ColumnName,QuestionText
Location,"Where are you from?"
Age,"How old are you?"
StartAge,"What age did you start programming?"
Employment,"What is your current employment status?"
OutsideWork,"Do you code outside of work/studying?"
Education,"What is the highest level of education you have completed?"
JVSalary,"What do you value most in a job? [Good salary]"
JVStack,"What do you value most in a job? [Tech stack/language choice]"
JVRemote,"What do you value most in a job? [Remote work]"
JVEvents,"What do you value most in a job? [Team events/parties]"
JVHealthcare,"What do you value most in a job? [Healthcare benefits]"
JVHoliday,"What do you value most in a job? [Vacation days]"
JVCareer,"What do you value most in a job? [Career progression]"
JVHours,"What do you value most in a job? [Work hour flexibility]"
JVFood,"What do you value most in a job? [Free food]"
JVCommute,"What do you value most in a job? [Commute time]"
Motivate,"What motivates you to program?"
Languages,"Which languages have you worked with in your studies, during employment, or at home?"
ProfLang,"Which language(s) would you say you are most proficient in?"
FavLang,"What is your favourite language and why?"
LFavLang,"What is your least favourite language and why?"
Learn,"Which language/framework/tool would you like to learn over the next year?"
Approach,"If you work on a personal project, which of these best describes your approach?"
Contribute,"How often do you contribute to open source projects?"
OSContribute,"Why do you contribute to open source projects?"
OSAlign,"Which of these statements do you most align with?"
OSTPH,"Would you be more likely to contribute to open source projects if TPH offered more contribution opportunities?"
OSTPHLang,"What language(s) would you like to see TPH make an open source project in?"
Idea,"Do you have any ideas for projects TPH could start?"
OSNContribute,"Why have you not contributed to open source projects?"
Network,"Which of our network servers are you a part of?"
RulesClear,"How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? [The rules are clear and udnerstandable]"
RulesReasonable,"How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? [The rules are reasonable]"
Moderation,"How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? [The moderation is fair]"
ModComms,"How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? [The moderation team communicate well]"
ModStyle,"How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? [I like TPH's moderation style]"
Nick,"How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? [I like the nick policy]"
Improve,"What improvements would you like to suggest to the moderation team? (if any)"
Spotlight,"What spotlight would you like to see next on TPH? (it can be any language/framework/library/tool/technology)"
Channel,"What new channel would you like to see on TPH?"
TPHFav,"What is your favourite thing about TPH?"
TPHLFav,"What is your least favourite thing about TPH?"
Comments,"Do you have any other comments you'd like to give to the moderation team?"